Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MiniBlogFormatter,BlogMLFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\BlogMLFormatter.cs,Format,The length of the statement  "            Dictionary<string' string> authors = doc.Root.Element(ns + "authors").Elements(ns + "author").ToDictionary(x => x.Attribute("id").Value' x => x.Element(ns + "title").Value); " is 173.
Long Statement,MiniBlogFormatter,BlogMLFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\BlogMLFormatter.cs,Format,The length of the statement  "            Dictionary<string' string> categories = doc.Root.Element(ns + "categories").Elements(ns + "category").ToDictionary(x => x.Attribute("id").Value' x => x.Element(ns + "title").Value); " is 181.
Long Statement,MiniBlogFormatter,WordpressFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\WordpressFormatter.cs,FormatPosts,The length of the statement  "                    string newFile = Path.Combine(targetFolderPath' entry.SelectSingleNode("wp:post_id"' namespaceManager).InnerText + ".xml"); " is 123.
Magic Number,MiniBlogFormatter,DasBlogFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\DasBlogFormatter.cs,FormatFileReferences,The following statement contains a magic number: content = content.Replace(match.Groups[2].Value' "/posts/files/" + match.Groups[5].Value);
Magic Number,MiniBlogFormatter,DasBlogFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\DasBlogFormatter.cs,FormatFileReferences,The following statement contains a magic number: content = content.Replace(match.Groups[2].Value' "/posts/files/" + match.Groups[5].Value);
Magic Number,MiniBlogFormatter,BlogEngineFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\BlogEngineFormatter.cs,FormatFileReferences,The following statement contains a magic number: content.InnerText = content.InnerText.Replace(match.Groups[2].Value' "/posts/files/" + match.Groups[6].Value);
Magic Number,MiniBlogFormatter,BlogEngineFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\BlogEngineFormatter.cs,FormatFileReferences,The following statement contains a magic number: content.InnerText = content.InnerText.Replace(match.Groups[2].Value' "/posts/files/" + match.Groups[6].Value);
Magic Number,MiniBlogFormatter,WordpressFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\WordpressFormatter.cs,FormatFileReferences,The following statement contains a magic number: content = content.Replace(match.Groups[2].Value' "/posts/files/" + match.Groups[5].Value);
Magic Number,MiniBlogFormatter,WordpressFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\WordpressFormatter.cs,FormatFileReferences,The following statement contains a magic number: content = content.Replace(match.Groups[2].Value' "/posts/files/" + match.Groups[5].Value);
Magic Number,MiniBlogFormatter.Formatters,GhostFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\GhostFormatter.cs,ConvertFromUnixEpoch,The following statement contains a magic number: var epoch = new DateTime(1970' 1' 1' 0' 0' 0' DateTimeKind.Utc);
Magic Number,MiniBlogFormatter.Formatters,GhostFormatter,D:\research\architectureSmells\repos\madskristensen_MiniBlogFormatter\MiniBlogFormatter\Formatters\GhostFormatter.cs,ConvertFromUnixEpoch,The following statement contains a magic number: timeStampString = timeStampString.Substring(0' timeStampString.Length - 3);
