Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DataRepository,2,5,0,0,4,33,5,0,0,0.5,2,2
CMMDatabase,0,4,0,0,4,30,5,0,1,0,3,1
SQLiteException,0,2,1,0,1,15,2,0,0,0,1,4
SQLiteConnection,8,27,7,0,25,608,63,1,0,0.95,7,4
PrimaryKeyAttribute,0,0,0,0,0,3,0,0,0,0,0,1
AutoIncrementAttribute,0,0,0,0,0,3,0,0,0,0,0,1
IndexedAttribute,0,0,0,0,0,3,0,0,0,0,0,1
IgnoreAttribute,0,0,0,0,0,3,0,0,0,0,0,1
MaxLengthAttribute,0,1,1,0,1,11,1,0,0,0,0,1
CollationAttribute,0,1,1,0,1,11,1,0,0,0,0,1
TableMapping,4,6,6,0,4,161,15,0,0,0.79,3,4
Orm,1,7,0,1,7,85,20,0,0,0.86,6,1
SQLiteCommand,3,15,1,0,9,254,55,0,0,0.63,4,2
PreparedSqlLiteInsertCommand,1,5,4,0,2,91,12,0,0,0,4,2
TableQuery,5,18,2,0,10,348,57,0,0,0.89,2,1
SQLite3,0,30,0,0,30,286,31,0,0,0,1,4
CMMDomainBase,0,0,1,0,0,8,0,3,0,0,0,0
Country,0,0,10,0,0,45,0,0,1,0,0,4
Location,0,0,2,0,0,11,0,0,1,0,0,1
NameTranslation,0,0,2,0,0,11,0,0,1,0,0,1
RestProcessor,0,2,1,0,2,43,4,0,0,0,2,1
App,1,12,1,0,1,174,19,0,0,0.92,2,0
LocalizedStrings,1,0,1,0,0,12,0,0,0,0,1,0
MainPage,0,3,0,0,1,45,4,0,0,0,3,0
AppResources,2,1,7,0,0,85,1,0,0,0,0,2
