Namespace,Type,Method,LOC,CC,PC
ServiceStack,ApiAllowableValuesAttribute,ApiAllowableValuesAttribute,3,1,1
ServiceStack,ApiAllowableValuesAttribute,ApiAllowableValuesAttribute,5,1,3
ServiceStack,ApiAllowableValuesAttribute,ApiAllowableValuesAttribute,4,1,2
ServiceStack,ApiAllowableValuesAttribute,ApiAllowableValuesAttribute,11,2,2
ServiceStack,ApiAllowableValuesAttribute,ApiAllowableValuesAttribute,7,2,2
ServiceStack,ApiAttribute,ApiAttribute,1,1,0
ServiceStack,ApiAttribute,ApiAttribute,1,1,1
ServiceStack,ApiAttribute,ApiAttribute,1,1,2
ServiceStack,ApiAttribute,ApiAttribute,5,1,3
ServiceStack,ApiResponseAttribute,ApiResponseAttribute,1,1,0
ServiceStack,ApiResponseAttribute,ApiResponseAttribute,4,1,2
ServiceStack,ApiResponseAttribute,ApiResponseAttribute,4,1,2
ServiceStack,AttributeBase,AttributeBase,3,1,0
ServiceStack,ArrayOfString,ArrayOfString,2,1,0
ServiceStack,ArrayOfString,ArrayOfString,1,1,1
ServiceStack,ArrayOfString,ArrayOfString,1,1,1
ServiceStack,ArrayOfStringId,ArrayOfStringId,2,1,0
ServiceStack,ArrayOfStringId,ArrayOfStringId,1,1,1
ServiceStack,ArrayOfStringId,ArrayOfStringId,1,1,1
ServiceStack,ArrayOfGuid,ArrayOfGuid,2,1,0
ServiceStack,ArrayOfGuid,ArrayOfGuid,1,1,1
ServiceStack,ArrayOfGuid,ArrayOfGuid,1,1,1
ServiceStack,ArrayOfGuidId,ArrayOfGuidId,2,1,0
ServiceStack,ArrayOfGuidId,ArrayOfGuidId,1,1,1
ServiceStack,ArrayOfGuidId,ArrayOfGuidId,1,1,1
ServiceStack,ArrayOfLong,ArrayOfLong,2,1,0
ServiceStack,ArrayOfLong,ArrayOfLong,1,1,1
ServiceStack,ArrayOfLong,ArrayOfLong,1,1,1
ServiceStack,ArrayOfLongId,ArrayOfLongId,2,1,0
ServiceStack,ArrayOfLongId,ArrayOfLongId,1,1,1
ServiceStack,ArrayOfLongId,ArrayOfLongId,1,1,1
ServiceStack,ArrayOfInt,ArrayOfInt,2,1,0
ServiceStack,ArrayOfInt,ArrayOfInt,1,1,1
ServiceStack,ArrayOfInt,ArrayOfInt,1,1,1
ServiceStack,ArrayOfIntId,ArrayOfIntId,2,1,0
ServiceStack,ArrayOfIntId,ArrayOfIntId,1,1,1
ServiceStack,ArrayOfIntId,ArrayOfIntId,1,1,1
ServiceStack,ICompressor,Compress,0,1,1
ServiceStack,IContainer,CreateFactory,0,1,1
ServiceStack,IContainer,AddSingleton,0,1,2
ServiceStack,IContainer,AddTransient,0,1,2
ServiceStack,IContainer,Resolve,0,1,1
ServiceStack,IContainer,Exists,0,1,1
ServiceStack,IEncryptedClient,Send,0,1,2
ServiceStack,IEncryptedClient,Send,0,1,2
ServiceStack,IHtmlString,ToHtmlString,0,1,0
ServiceStack,IRawString,ToRawString,0,1,0
ServiceStack,IHttpRestClientAsync,GetAsync,0,1,1
ServiceStack,IHttpRestClientAsync,DeleteAsync,0,1,1
ServiceStack,IHttpRestClientAsync,PostAsync,0,1,2
ServiceStack,IHttpRestClientAsync,PutAsync,0,1,2
ServiceStack,IHttpRestClientAsync,CustomMethodAsync,0,1,3
ServiceStack,IHttpRestClientAsync,SendAsync,0,1,4
ServiceStack,IOneWayClient,SendOneWay,0,1,1
ServiceStack,IOneWayClient,SendOneWay,0,1,2
ServiceStack,IOneWayClient,SendAllOneWay,0,1,1
ServiceStack,QueryDbAttribute,QueryDbAttribute,1,1,0
ServiceStack,QueryDbAttribute,QueryDbAttribute,3,1,1
ServiceStack,QueryDataAttribute,QueryDataAttribute,1,1,0
ServiceStack,QueryDataAttribute,QueryDataAttribute,3,1,1
ServiceStack,IReceiver,NoSuchMethod,0,1,2
ServiceStack,IRequiresSchema,InitSchema,0,1,0
ServiceStack,IRestClient,AddHeader,0,1,2
ServiceStack,IRestClient,ClearCookies,0,1,0
ServiceStack,IRestClient,GetCookieValues,0,1,0
ServiceStack,IRestClient,SetCookie,0,1,3
ServiceStack,IRestClient,Get,0,1,1
ServiceStack,IRestClient,GetLazy,0,1,1
ServiceStack,IRestClient,Delete,0,1,1
ServiceStack,IRestClient,Post,0,1,2
ServiceStack,IRestClient,Put,0,1,2
ServiceStack,IRestClient,Patch,0,1,2
ServiceStack,IRestClient,Send,0,1,3
ServiceStack,IRestClient,PostFile,0,1,4
ServiceStack,IRestClient,PostFileWithRequest,0,1,4
ServiceStack,IRestClient,PostFileWithRequest,0,1,5
ServiceStack,IRestClient,PostFilesWithRequest,0,1,2
ServiceStack,IRestClient,PostFilesWithRequest,0,1,3
ServiceStack,IRestClientAsync,GetAsync,0,1,1
ServiceStack,IRestClientAsync,GetAsync,0,1,1
ServiceStack,IRestClientAsync,GetAsync,0,1,1
ServiceStack,IRestClientAsync,DeleteAsync,0,1,1
ServiceStack,IRestClientAsync,DeleteAsync,0,1,1
ServiceStack,IRestClientAsync,DeleteAsync,0,1,1
ServiceStack,IRestClientAsync,PostAsync,0,1,1
ServiceStack,IRestClientAsync,PostAsync,0,1,1
ServiceStack,IRestClientAsync,PostAsync,0,1,1
ServiceStack,IRestClientAsync,PutAsync,0,1,1
ServiceStack,IRestClientAsync,PutAsync,0,1,1
ServiceStack,IRestClientAsync,PutAsync,0,1,1
ServiceStack,IRestClientAsync,PatchAsync,0,1,1
ServiceStack,IRestClientAsync,PatchAsync,0,1,1
ServiceStack,IRestClientAsync,PatchAsync,0,1,1
ServiceStack,IRestClientAsync,CustomMethodAsync,0,1,2
ServiceStack,IRestClientAsync,CustomMethodAsync,0,1,2
ServiceStack,IRestClientAsync,CustomMethodAsync,0,1,2
ServiceStack,IRestClientSync,Get,0,1,1
ServiceStack,IRestClientSync,Get,0,1,1
ServiceStack,IRestClientSync,Get,0,1,1
ServiceStack,IRestClientSync,Delete,0,1,1
ServiceStack,IRestClientSync,Delete,0,1,1
ServiceStack,IRestClientSync,Delete,0,1,1
ServiceStack,IRestClientSync,Post,0,1,1
ServiceStack,IRestClientSync,Post,0,1,1
ServiceStack,IRestClientSync,Post,0,1,1
ServiceStack,IRestClientSync,Put,0,1,1
ServiceStack,IRestClientSync,Put,0,1,1
ServiceStack,IRestClientSync,Put,0,1,1
ServiceStack,IRestClientSync,Patch,0,1,1
ServiceStack,IRestClientSync,Patch,0,1,1
ServiceStack,IRestClientSync,Patch,0,1,1
ServiceStack,IRestClientSync,CustomMethod,0,1,2
ServiceStack,IRestClientSync,CustomMethod,0,1,2
ServiceStack,IRestClientSync,CustomMethod,0,1,2
ServiceStack,IRestGateway,Send,0,1,1
ServiceStack,IRestGateway,Get,0,1,1
ServiceStack,IRestGateway,Post,0,1,1
ServiceStack,IRestGateway,Put,0,1,1
ServiceStack,IRestGateway,Delete,0,1,1
ServiceStack,ISequenceSource,Increment,0,1,2
ServiceStack,ISequenceSource,Reset,0,1,2
ServiceStack,IServiceBeforeFilter,OnBeforeExecute,0,1,1
ServiceStack,IServiceAfterFilter,OnAfterExecute,0,1,1
ServiceStack,IServiceErrorFilter,OnExceptionAsync,0,1,2
ServiceStack,IGet,Get,0,1,1
ServiceStack,IPost,Post,0,1,1
ServiceStack,IPut,Put,0,1,1
ServiceStack,IDelete,Delete,0,1,1
ServiceStack,IPatch,Patch,0,1,1
ServiceStack,IOptions,Options,0,1,1
ServiceStack,IAny,Any,0,1,1
ServiceStack,IAnyVoid,Any,0,1,1
ServiceStack,IGetVoid,Get,0,1,1
ServiceStack,IPostVoid,Post,0,1,1
ServiceStack,IPutVoid,Put,0,1,1
ServiceStack,IDeleteVoid,Delete,0,1,1
ServiceStack,IPatchVoid,Patch,0,1,1
ServiceStack,IOptionsVoid,Options,0,1,1
ServiceStack,IServiceClientCommon,SetCredentials,0,1,2
ServiceStack,IServiceGateway,Send,0,1,1
ServiceStack,IServiceGateway,SendAll,0,1,1
ServiceStack,IServiceGateway,Publish,0,1,1
ServiceStack,IServiceGateway,PublishAll,0,1,1
ServiceStack,IServiceGatewayAsync,SendAsync,0,1,2
ServiceStack,IServiceGatewayAsync,SendAllAsync,0,1,2
ServiceStack,IServiceGatewayAsync,PublishAsync,0,1,2
ServiceStack,IServiceGatewayAsync,PublishAllAsync,0,1,2
ServiceStack,IUrlFilter,ToUrl,0,1,1
ServiceStack,NamedConnectionAttribute,NamedConnectionAttribute,3,1,1
ServiceStack,PageAttribute,PageAttribute,4,1,2
ServiceStack,PageArgAttribute,PageArgAttribute,4,1,2
ServiceStack,PriorityAttribute,PriorityAttribute,0,1,1
ServiceStack,Properties,Properties,1,1,0
ServiceStack,Properties,Properties,1,1,1
ServiceStack,RequestAttributesExtensions,IsLocalhost,3,1,1
ServiceStack,RequestAttributesExtensions,IsLocalSubnet,3,1,1
ServiceStack,RequestAttributesExtensions,IsExternal,3,1,1
ServiceStack,RequestAttributesExtensions,ToFormat,10,1,1
ServiceStack,RequestAttributesExtensions,FromFormat,6,2,1
ServiceStack,RequestAttributesExtensions,ToFormat,24,9,1
ServiceStack,RequestAttributesExtensions,ToFeature,24,9,1
ServiceStack,RequestAttributesExtensions,ToSoapFeature,7,3,1
ServiceStack,ResponseStatus,ResponseStatus,1,1,0
ServiceStack,ResponseStatus,ResponseStatus,3,1,1
ServiceStack,ResponseStatus,ResponseStatus,3,1,2
ServiceStack,RestrictAttribute,RestrictAttribute,4,1,0
ServiceStack,RestrictAttribute,RestrictAttribute,4,1,1
ServiceStack,RestrictAttribute,RestrictAttribute,4,1,2
ServiceStack,RestrictAttribute,ToAllowedFlagsSet,11,3,1
ServiceStack,RestrictAttribute,CanShowTo,3,1,1
ServiceStack,RestrictAttribute,HasAccessTo,3,1,1
ServiceStack,RestrictExtensions,ToAllowedFlagsSet,36,8,1
ServiceStack,RestrictExtensions,HasAnyRestrictionsOf,3,1,2
ServiceStack,RouteAttribute,RouteAttribute,2,1,1
ServiceStack,RouteAttribute,RouteAttribute,4,1,2
ServiceStack,RouteAttribute,Equals,8,1,1
ServiceStack,RouteAttribute,Equals,6,4,1
ServiceStack,RouteAttribute,GetHashCode,12,1,0
ServiceStack,FallbackRouteAttribute,FallbackRouteAttribute,1,1,1
ServiceStack,FallbackRouteAttribute,FallbackRouteAttribute,1,1,2
ServiceStack,StrictModeException,StrictModeException,1,1,0
ServiceStack,StrictModeException,StrictModeException,3,1,2
ServiceStack,StrictModeException,StrictModeException,3,1,3
ServiceStack,StrictModeException,StrictModeException,3,1,3
ServiceStack,TagAttribute,TagAttribute,4,1,2
ServiceStack,UploadFile,UploadFile,1,1,1
ServiceStack,UploadFile,UploadFile,1,1,2
ServiceStack,UploadFile,UploadFile,1,1,3
ServiceStack,UploadFile,UploadFile,6,1,4
ServiceStack.Auth,IPasswordHasher,VerifyPassword,0,1,3
ServiceStack.Auth,IPasswordHasher,HashPassword,0,1,1
ServiceStack.Caching,ICacheClient,Remove,0,1,1
ServiceStack.Caching,ICacheClient,RemoveAll,0,1,1
ServiceStack.Caching,ICacheClient,Get,0,1,1
ServiceStack.Caching,ICacheClient,Increment,0,1,2
ServiceStack.Caching,ICacheClient,Decrement,0,1,2
ServiceStack.Caching,ICacheClient,Add,0,1,2
ServiceStack.Caching,ICacheClient,Set,0,1,2
ServiceStack.Caching,ICacheClient,Replace,0,1,2
ServiceStack.Caching,ICacheClient,Add,0,1,3
ServiceStack.Caching,ICacheClient,Set,0,1,3
ServiceStack.Caching,ICacheClient,Replace,0,1,3
ServiceStack.Caching,ICacheClient,Add,0,1,3
ServiceStack.Caching,ICacheClient,Set,0,1,3
ServiceStack.Caching,ICacheClient,Replace,0,1,3
ServiceStack.Caching,ICacheClient,FlushAll,0,1,0
ServiceStack.Caching,ICacheClient,GetAll,0,1,1
ServiceStack.Caching,ICacheClient,SetAll,0,1,1
ServiceStack.Caching,ICacheClientExtended,GetTimeToLive,0,1,1
ServiceStack.Caching,ICacheClientExtended,GetKeysByPattern,0,1,1
ServiceStack.Caching,IDeflateProvider,Deflate,0,1,1
ServiceStack.Caching,IDeflateProvider,Deflate,0,1,1
ServiceStack.Caching,IDeflateProvider,Inflate,0,1,1
ServiceStack.Caching,IDeflateProvider,InflateBytes,0,1,1
ServiceStack.Caching,IDeflateProvider,DeflateStream,0,1,1
ServiceStack.Caching,IDeflateProvider,InflateStream,0,1,1
ServiceStack.Caching,IGZipProvider,GZip,0,1,1
ServiceStack.Caching,IGZipProvider,GZip,0,1,1
ServiceStack.Caching,IGZipProvider,GUnzip,0,1,1
ServiceStack.Caching,IGZipProvider,GUnzipBytes,0,1,1
ServiceStack.Caching,IGZipProvider,GZipStream,0,1,1
ServiceStack.Caching,IGZipProvider,GUnzipStream,0,1,1
ServiceStack.Caching,IMemcachedClient,Remove,0,1,1
ServiceStack.Caching,IMemcachedClient,RemoveAll,0,1,1
ServiceStack.Caching,IMemcachedClient,Get,0,1,1
ServiceStack.Caching,IMemcachedClient,Get,0,1,2
ServiceStack.Caching,IMemcachedClient,Increment,0,1,2
ServiceStack.Caching,IMemcachedClient,Decrement,0,1,2
ServiceStack.Caching,IMemcachedClient,Add,0,1,2
ServiceStack.Caching,IMemcachedClient,Set,0,1,2
ServiceStack.Caching,IMemcachedClient,Replace,0,1,2
ServiceStack.Caching,IMemcachedClient,Add,0,1,3
ServiceStack.Caching,IMemcachedClient,Set,0,1,3
ServiceStack.Caching,IMemcachedClient,Replace,0,1,3
ServiceStack.Caching,IMemcachedClient,FlushAll,0,1,0
ServiceStack.Caching,IMemcachedClient,GetAll,0,1,1
ServiceStack.Caching,IMemcachedClient,CheckAndSet,0,1,3
ServiceStack.Caching,IMemcachedClient,CheckAndSet,0,1,4
ServiceStack.Caching,IMemcachedClient,GetAll,0,1,2
ServiceStack.Caching,IRemoveByPattern,RemoveByPattern,0,1,1
ServiceStack.Caching,IRemoveByPattern,RemoveByRegex,0,1,1
ServiceStack.Caching,ISession,Set,0,1,2
ServiceStack.Caching,ISession,Get,0,1,1
ServiceStack.Caching,ISession,Remove,0,1,1
ServiceStack.Caching,ISession,RemoveAll,0,1,0
ServiceStack.Caching,ISessionFactory,GetOrCreateSession,0,1,2
ServiceStack.Caching,ISessionFactory,GetOrCreateSession,0,1,0
ServiceStack.Caching,ISessionFactory,CreateSession,0,1,1
ServiceStack.Commands,ICommand,Execute,0,1,0
ServiceStack.Commands,ICommand,Execute,0,1,0
ServiceStack.Configuration,IAppSettings,GetAll,0,1,0
ServiceStack.Configuration,IAppSettings,GetAllKeys,0,1,0
ServiceStack.Configuration,IAppSettings,Exists,0,1,1
ServiceStack.Configuration,IAppSettings,Set,0,1,2
ServiceStack.Configuration,IAppSettings,GetString,0,1,1
ServiceStack.Configuration,IAppSettings,GetList,0,1,1
ServiceStack.Configuration,IAppSettings,GetDictionary,0,1,1
ServiceStack.Configuration,IAppSettings,GetKeyValuePairs,0,1,1
ServiceStack.Configuration,IAppSettings,Get,0,1,1
ServiceStack.Configuration,IAppSettings,Get,0,1,2
ServiceStack.Configuration,IRuntimeAppSettings,Get,0,1,3
ServiceStack.Configuration,IContainerAdapter,Resolve,0,1,0
ServiceStack.Configuration,IRelease,Release,0,1,1
ServiceStack.Configuration,IResolver,TryResolve,0,1,0
ServiceStack.Configuration,ITypeFactory,CreateInstance,0,1,2
ServiceStack.DataAnnotations,AliasAttribute,AliasAttribute,3,1,1
ServiceStack.DataAnnotations,BelongToAttribute,BelongToAttribute,3,1,1
ServiceStack.DataAnnotations,CheckConstraintAttribute,CheckConstraintAttribute,3,1,1
ServiceStack.DataAnnotations,CompositeIndexAttribute,CompositeIndexAttribute,3,1,0
ServiceStack.DataAnnotations,CompositeIndexAttribute,CompositeIndexAttribute,3,1,1
ServiceStack.DataAnnotations,CompositeIndexAttribute,CompositeIndexAttribute,4,1,2
ServiceStack.DataAnnotations,CompositeKeyAttribute,CompositeKeyAttribute,3,1,0
ServiceStack.DataAnnotations,CompositeKeyAttribute,CompositeKeyAttribute,3,1,1
ServiceStack.DataAnnotations,ComputeAttribute,ComputeAttribute,1,1,0
ServiceStack.DataAnnotations,ComputeAttribute,ComputeAttribute,3,1,1
ServiceStack.DataAnnotations,CustomFieldAttribute,CustomFieldAttribute,3,1,1
ServiceStack.DataAnnotations,PgSqlJsonAttribute,PgSqlJsonAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlJsonBAttribute,PgSqlJsonBAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlHStoreAttribute,PgSqlHStoreAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlTextArrayAttribute,PgSqlTextArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlShortArrayAttribute,PgSqlShortArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlIntArrayAttribute,PgSqlIntArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlLongArrayAttribute,PgSqlLongArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlFloatArrayAttribute,PgSqlFloatArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlDoubleArrayAttribute,PgSqlDoubleArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlDecimalArrayAttribute,PgSqlDecimalArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlTimestampArrayAttribute,PgSqlTimestampArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlTimestampTzArrayAttribute,PgSqlTimestampTzArrayAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlTimestampAttribute,PgSqlTimestampAttribute,1,1,0
ServiceStack.DataAnnotations,PgSqlTimestampTzAttribute,PgSqlTimestampTzAttribute,1,1,0
ServiceStack.DataAnnotations,CustomSelectAttribute,CustomSelectAttribute,3,1,1
ServiceStack.DataAnnotations,DecimalLengthAttribute,DecimalLengthAttribute,4,1,2
ServiceStack.DataAnnotations,DecimalLengthAttribute,DecimalLengthAttribute,2,1,1
ServiceStack.DataAnnotations,DecimalLengthAttribute,DecimalLengthAttribute,2,1,0
ServiceStack.DataAnnotations,DefaultAttribute,DefaultAttribute,5,1,1
ServiceStack.DataAnnotations,DefaultAttribute,DefaultAttribute,5,1,1
ServiceStack.DataAnnotations,DefaultAttribute,DefaultAttribute,4,1,1
ServiceStack.DataAnnotations,DefaultAttribute,DefaultAttribute,4,1,2
ServiceStack.DataAnnotations,DescriptionAttribute,DescriptionAttribute,3,1,1
ServiceStack.DataAnnotations,ExcludeAttribute,ExcludeAttribute,3,1,1
ServiceStack.DataAnnotations,ExcludeMetadataAttribute,ExcludeMetadataAttribute,1,1,0
ServiceStack.DataAnnotations,ForeignKeyAttribute,ForeignKeyAttribute,2,1,1
ServiceStack.DataAnnotations,IdAttribute,IdAttribute,0,1,1
ServiceStack.DataAnnotations,IndexAttribute,IndexAttribute,1,1,0
ServiceStack.DataAnnotations,IndexAttribute,IndexAttribute,3,1,1
ServiceStack.DataAnnotations,MetaAttribute,MetaAttribute,4,1,2
ServiceStack.DataAnnotations,PostCreateTableAttribute,PostCreateTableAttribute,3,1,1
ServiceStack.DataAnnotations,PostDropTableAttribute,PostDropTableAttribute,3,1,1
ServiceStack.DataAnnotations,PreCreateTableAttribute,PreCreateTableAttribute,3,1,1
ServiceStack.DataAnnotations,PreDropTableAttribute,PreDropTableAttribute,3,1,1
ServiceStack.DataAnnotations,RangeAttribute,RangeAttribute,5,1,2
ServiceStack.DataAnnotations,RangeAttribute,RangeAttribute,5,1,2
ServiceStack.DataAnnotations,RangeAttribute,RangeAttribute,5,1,3
ServiceStack.DataAnnotations,ReferencesAttribute,ReferencesAttribute,3,1,1
ServiceStack.DataAnnotations,SchemaAttribute,SchemaAttribute,3,1,1
ServiceStack.DataAnnotations,SequenceAttribute,SequenceAttribute,3,1,1
ServiceStack.DataAnnotations,SqlServerBucketCountAttribute,SqlServerBucketCountAttribute,1,1,1
ServiceStack.DataAnnotations,SqlServerCollateAttribute,SqlServerCollateAttribute,1,1,1
ServiceStack.DataAnnotations,SqlServerFileTableAttribute,SqlServerFileTableAttribute,1,1,0
ServiceStack.DataAnnotations,SqlServerFileTableAttribute,SqlServerFileTableAttribute,4,1,2
ServiceStack.DataAnnotations,SqlServerMemoryOptimizedAttribute,SqlServerMemoryOptimizedAttribute,1,1,0
ServiceStack.DataAnnotations,SqlServerMemoryOptimizedAttribute,SqlServerMemoryOptimizedAttribute,1,1,1
ServiceStack.DataAnnotations,StringLengthAttribute,StringLengthAttribute,3,1,1
ServiceStack.DataAnnotations,StringLengthAttribute,StringLengthAttribute,4,1,2
ServiceStack.DataAnnotations,UniqueConstraintAttribute,UniqueConstraintAttribute,3,1,0
ServiceStack.DataAnnotations,UniqueConstraintAttribute,UniqueConstraintAttribute,3,1,1
ServiceStack.DataAnnotations,UniqueIdAttribute,UniqueIdAttribute,0,1,1
ServiceStack.Data,DataException,DataException,1,1,0
ServiceStack.Data,DataException,DataException,1,1,1
ServiceStack.Data,DataException,DataException,1,1,2
ServiceStack.Data,IEntityStore,GetById,0,1,1
ServiceStack.Data,IEntityStore,GetByIds,0,1,1
ServiceStack.Data,IEntityStore,Store,0,1,1
ServiceStack.Data,IEntityStore,StoreAll,0,1,1
ServiceStack.Data,IEntityStore,Delete,0,1,1
ServiceStack.Data,IEntityStore,DeleteById,0,1,1
ServiceStack.Data,IEntityStore,DeleteByIds,0,1,1
ServiceStack.Data,IEntityStore,DeleteAll,0,1,0
ServiceStack.Data,IEntityStore,GetById,0,1,1
ServiceStack.Data,IEntityStore,GetByIds,0,1,1
ServiceStack.Data,IEntityStore,GetAll,0,1,0
ServiceStack.Data,IEntityStore,Store,0,1,1
ServiceStack.Data,IEntityStore,StoreAll,0,1,1
ServiceStack.Data,IEntityStore,Delete,0,1,1
ServiceStack.Data,IEntityStore,DeleteById,0,1,1
ServiceStack.Data,IEntityStore,DeleteByIds,0,1,1
ServiceStack.Data,IEntityStore,DeleteAll,0,1,0
ServiceStack.Data,OptimisticConcurrencyException,OptimisticConcurrencyException,1,1,0
ServiceStack.Data,OptimisticConcurrencyException,OptimisticConcurrencyException,1,1,1
ServiceStack.Data,OptimisticConcurrencyException,OptimisticConcurrencyException,1,1,2
ServiceStack.IO,IHasVirtualFiles,GetFile,0,1,0
ServiceStack.IO,IHasVirtualFiles,GetDirectory,0,1,0
ServiceStack.IO,IVirtualDirectory,GetFile,0,1,1
ServiceStack.IO,IVirtualDirectory,GetFile,0,1,1
ServiceStack.IO,IVirtualDirectory,GetDirectory,0,1,1
ServiceStack.IO,IVirtualDirectory,GetDirectory,0,1,1
ServiceStack.IO,IVirtualDirectory,GetAllMatchingFiles,0,1,2
ServiceStack.IO,IVirtualFile,GetFileHash,0,1,0
ServiceStack.IO,IVirtualFile,OpenRead,0,1,0
ServiceStack.IO,IVirtualFile,OpenText,0,1,0
ServiceStack.IO,IVirtualFile,ReadAllText,0,1,0
ServiceStack.IO,IVirtualFile,GetContents,0,1,0
ServiceStack.IO,IVirtualFile,Refresh,0,1,0
ServiceStack.IO,IVirtualFiles,WriteFile,0,1,2
ServiceStack.IO,IVirtualFiles,WriteFile,0,1,2
ServiceStack.IO,IVirtualFiles,WriteFile,0,1,2
ServiceStack.IO,IVirtualFiles,WriteFiles,0,1,2
