Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core' EvilDICOM.Core.Helpers,EvilDICOM.Core.DICOMForge' EvilDICOM.Core.DICOMObject' EvilDICOM.Core.Helpers.DICOMComparer' EvilDICOM.Core.Helpers.SOPClassDictionary' EvilDICOM.Core.Helpers.TagSorter
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core' EvilDICOM.Core.Helpers' EvilDICOM.Core.Element,EvilDICOM.Core.DICOMForge' EvilDICOM.Core.DICOMObject' EvilDICOM.Core.Helpers.DICOMComparer' EvilDICOM.Core.Helpers.SOPClassDictionary' EvilDICOM.Core.Helpers.TagSorter' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core' EvilDICOM.Core.IO.Reading' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element,EvilDICOM.Core.DICOMForge' EvilDICOM.Core.DICOMObject' EvilDICOM.Core.IO.Reading.DataReader' EvilDICOM.Core.IO.Reading.DICOMElementReader' EvilDICOM.Core.IO.Reading.DICOMFileReader' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core' EvilDICOM.Core.Helpers' EvilDICOM.Core.Element' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element,EvilDICOM.Core.DICOMForge' EvilDICOM.Core.DICOMObject' EvilDICOM.Core.Helpers.DICOMComparer' EvilDICOM.Core.Helpers.SOPClassDictionary' EvilDICOM.Core.Helpers.TagSorter' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core.Dictionaries,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Dictionaries' EvilDICOM.Core.Element,EvilDICOM.Core.Dictionaries.EncodingDictionary' EvilDICOM.Core.Dictionaries.TagDictionary' EvilDICOM.Core.Dictionaries.VRDictionary' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core.Dictionaries,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Dictionaries' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element,EvilDICOM.Core.Dictionaries.EncodingDictionary' EvilDICOM.Core.Dictionaries.TagDictionary' EvilDICOM.Core.Dictionaries.VRDictionary' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core.Dictionaries,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Dictionaries' EvilDICOM.Core.Element' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element,EvilDICOM.Core.Dictionaries.EncodingDictionary' EvilDICOM.Core.Dictionaries.TagDictionary' EvilDICOM.Core.Dictionaries.VRDictionary' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core.Dictionaries,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Dictionaries' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element,EvilDICOM.Core.Dictionaries.EncodingDictionary' EvilDICOM.Core.Dictionaries.TagDictionary' EvilDICOM.Core.Dictionaries.VRDictionary' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core.Element,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Element' EvilDICOM.Core.IO.Data,EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction
Cyclic Dependency,EvilDICOM_NETSTD,EvilDICOM.Core.Element,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Element' EvilDICOM.Core.IO.Reading' EvilDICOM.Core.IO.Data,EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory' EvilDICOM.Core.IO.Reading.DataReader' EvilDICOM.Core.IO.Reading.DICOMElementReader' EvilDICOM.Core.IO.Reading.DICOMFileReader' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction
