Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,Cyclomatic complexity of the method is 24
Long Parameter List,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,IISLogTraceData,The method has 9 parameters. Parameters: action' eventID' task' taskName' taskGuid' opcode' opcodeName' providerGuid' providerName
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
Magic Number,Winterdom.Diagnostics.Tracing.IISTraceEvent,IISLogTraceData,D:\research\architectureSmells\repos1\tomasr_iis-etw-tracing\IISTraceEvent\IISLogTraceData.cs,PayloadValue,The following statement contains a magic number: switch ( index ) {          case 0: return EnabledFieldsFlags;          case 1: return Date;          case 2: return Time;          case 3: return C_ip;          case 4: return Cs_username;          case 5: return S_sitename;          case 6: return S_computername;          case 7: return S_ip;          case 8: return Cs_method;          case 9: return Cs_uri_stem;          case 10: return Cs_uri_query;          case 11: return Sc_status;          case 12: return Sc_win32_status;          case 13: return Sc_bytes;          case 14: return Cs_bytes;          case 15: return Time_taken;          case 16: return S_port;          case 17: return CsUser_agent;          case 18: return CsCookie;          case 19: return CsReferer;          case 20: return Cs_version;          case 21: return Cs_host;          case 22: return Sc_substatus;          case 23: return CustomFields;        }
