Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The length of the statement  "                        return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]); " is 123.
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
Magic Number,Moq.Sdk,MockSetup,C:\repos\Moq_moq\src\Sdk\MockSetup.cs,CreateEquatable,The following statement contains a magic number: if (matchers.Length <= 8)              {                  switch (matchers.Length)                  {                      case 0:                          return Tuple.Create(Invocation);                      case 1:                          return Tuple.Create(Invocation' matchers[0]);                      case 2:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]);                      case 3:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]);                      case 4:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]);                      case 5:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]);                      case 6:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]);                      case 7:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' matchers[6]);                      case 8:                          return Tuple.Create(Invocation' matchers[0]' matchers[1]' matchers[2]' matchers[3]' matchers[4]' matchers[5]' Tuple.Create(matchers[6]' matchers[7]));                      default:                          throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");                  }              }              else              {                  throw new NotSupportedException("A maximum of 8 argument matchers are supported at the moment.");              }
