Project,Namespace,Ca types,Ce types
Logic,Swarmops.Logic.Communications,Swarmops.Backend.CommsTransmitter' Swarmops.Utility.Communications.CommsTransmitterMail' Swarmops.Logic.Communications.Payload.ParticipantMailPayload' Swarmops.Logic.Communications.Payload.NotificationPayload' Swarmops.Logic.Communications.Resolution.ResolverEnvelope' Swarmops.Backend.BackendLoop' Swarmops.Frontend.Socket.FrontendLoop' Swarmops.Logic.Communications.Resolution.ParticipantResolver' Swarmops.Logic.Financial.BitcoinUtility' Swarmops.Logic.Financial.CashAdvance' Swarmops.Logic.Financial.InboundInvoice' Swarmops.Logic.Financial.Payout' Swarmops.Logic.Financial.Payouts' Swarmops.Logic.Financial.Salaries' Swarmops.Logic.Financial.Salary' Swarmops.Logic.Financial.ExpenseClaim' Swarmops.Logic.Support.DatabaseMaintenance' Swarmops.Frontend.Automation.FinancialFunctions' Swarmops.Frontend.Pages.Admin.SystemSettingsPage' Swarmops.Frontend.Pages.Comms.SendMassMessage' Swarmops.Frontend.Pages.Public.Signup' Swarmops.Frontend.Pages.v5.Swarm.AddPerson' Swarmops.Pages.Security.RequestPasswordReset' Swarmops.Pages.Security.ResetPassword' Swarmops.Utility.BotCode.MailResolver' Swarmops.Logic.Swarm.Person' Swarmops.Logic.Structure.Organization' Swarmops.Utility.BotCode.MailProcessor' Swarmops.Utility.BotCode.PressReleaseChecker' Swarmops.Utility.BotCode.MailTransmissionAsyncState' Swarmops.Logic.Support.Document' Swarmops.Pages.v5.Support.StreamUpload' Swarmops.Utility.BotCode.RosterHousekeeping' Swarmops.Logic.Special.Sweden.SupportDatabase,Swarmops.Logic.Swarm.Person' Swarmops.Logic.Communications.Payload.PayloadEnvelope' Swarmops.Basic.Types.Communications.BasicOutboundComm' Swarmops.Database.SwarmDb' Swarmops.Logic.Communications.Resolution.ResolverEnvelope' Swarmops.Logic.Structure.Organization' Swarmops.Common.Enums.OutboundCommPriority' Swarmops.Logic.Communications.Payload.NotificationResource' Swarmops.Logic.Swarm.People' Swarmops.Logic.Communications.Payload.NotificationStrings' Swarmops.Logic.Communications.Payload.NotificationCustomStrings' Swarmops.Logic.Swarm.Participation' Swarmops.Logic.Communications.Payload.ParticipantMailType' Swarmops.Logic.Communications.Resolution.ParticipantResolver' Swarmops.Logic.Structure.Geography' Swarmops.Logic.Communications.Payload.NotificationString' Swarmops.Logic.Communications.Payload.NotificationPayload' Swarmops.Logic.Financial.Currency' Swarmops.Logic.Financial.FinancialAccount' Swarmops.Logic.Swarm.ParticipantTitle' Swarmops.Basic.Types.Communications.BasicOutboundCommRecipient' Swarmops.Database.DatabaseCondition' Swarmops.Basic.Types.Communications.BasicAutoMail' Swarmops.Common.Enums.AutoMailType' Swarmops.Basic.Types.Communications.BasicCommunicationTurnaround' Swarmops.Basic.Types.Communications.BasicMailTemplate' Swarmops.Logic.Cache.MailTemplateCache' Swarmops.Logic.Structure.Country' Swarmops.Basic.Types.Communications.BasicNewsletterFeed' Swarmops.Basic.Types.Communications.BasicOutboundMail' Swarmops.Common.Enums.MailAuthorType' Swarmops.Common.Constants' Swarmops.Logic.Media.Reporter' Swarmops.Common.Interfaces.IEmailPerson' Swarmops.Basic.Types.Communications.BasicOutboundMailRecipient' Swarmops.Common.Enums.RoleType' Swarmops.Basic.Types.Communications.BasicPaperLetter' Swarmops.Basic.Types.Swarm.BasicPerson' Swarmops.Logic.Support.ActivistEvents' Swarmops.Common.Enums.EventSource' Swarmops.Logic.Support.CheckDigit' Swarmops.Logic.Media.MediaCategories' Swarmops.Logic.Media.MediaCategory
Logic,Swarmops.Logic.Communications.Resolution,Swarmops.Logic.Communications.OutboundComm' Swarmops.Backend.CommsTransmitter,Swarmops.Logic.Structure.Geography' Swarmops.Logic.Structure.Organization' Swarmops.Logic.Swarm.People' Swarmops.Logic.Communications.OutboundComm' Swarmops.Logic.Communications.ICommsResolver
Logic,Swarmops.Logic.Financial,Swarmops.Logic.Support.BackendServices.ReturnBitcoinEchoUtxoOrder' Swarmops.Backend.BackendLoop' Swarmops.Frontend.Automation.FinancialFunctions' Swarmops.Frontend.Pages.v5.Admin.BitcoinEchoTest' Swarmops.Frontend.Pages.v5.Financial.Donate' Swarmops.Frontend.Pages.v5.Ledgers.Json_BitcoinHotwalletData' Swarmops.Tests.Financial.BitcoinUtilityTest' Swarmops.Frontend.Pages.v5.Financial.ListInvoicesOutbound' Swarmops.Frontend.Pages.v5.Financial.ListInvoicesInbound' Swarmops.Frontend.Pages.v5.Financial.AttestCosts' Swarmops.Logic.Support.Document' Swarmops.Frontend.Pages.v5.Ledgers.BalanceTransactions' Swarmops.Frontend.Pages.v5.Ledgers.Json_VatReportData' Swarmops.Frontend.Pages.v5.Ledgers.ViewVatReports' Swarmops.Frontend.Automation.Json_AvailableCurrencies' Swarmops.Frontend.Pages.v5.Admin.CreateOrganization' Swarmops.Frontend.Pages.v5.Public.Initialize' Swarmops.Logic.Swarm.DashboardTodos' Swarmops.Frontend.Pages.v5.Financial.RequestCashAdvance' Swarmops.Frontend.Pages.v5.Ledgers.InspectLedgers' Swarmops.Frontend.Pages.v5.Ledgers.Json_OutstandingAccounts' Swarmops.Frontend.Pages.v5.Ledgers.OutstandingAccount' Swarmops.Frontend.Pages.v5.Ledgers.ResyncExternalAccount' Swarmops.Site.Pages.Ledgers.UploadBankFiles' Swarmops.Frontend.Pages.v5.Ledgers.ResyncDataPreview' Swarmops.Logic.Financial.BankDataReaders.TabSeparatedValuesReader' Swarmops.Frontend.Pages.v5.Financial.CreateOutboundInvoice' Swarmops.Frontend.Pages.v5.Financial.CreateInboundInvoice' Swarmops.Frontend.Pages.v5.Financial.FileExpenseClaim' Swarmops.Frontend.Pages.v5.Financial.ValidateReceipts' Swarmops.Frontend.Pages.v5.Financial.Json_TransactionTagsTree' Swarmops.Frontend.Pages.v5.Ledgers.BalanceSheetDataSimplified' Swarmops.Frontend.Pages.v5.Ledgers.BalanceSheetData' Swarmops.Frontend.Pages.v5.Ledgers.TaxForms.Json_PayrollData' Swarmops.Logic.Communications.OutboundComm' Swarmops.Logic.Support.LogEntries.CashAdvanceRequestedLogEntry' Swarmops.Logic.Support.LogEntries.SalaryCreatedLogEntry' Swarmops.Logic.Support.LogEntries.InboundInvoiceCreatedLogEntry' Swarmops.Logic.Support.LogEntries.ExpenseClaimFiledLogEntry' Swarmops.Logic.Support.LogEntries.PayoutCreatedLogEntry' Swarmops.Logic.Structure.Organization' Swarmops.Frontend.Pages.Admin.OrgSettings' Swarmops.Frontend.Pages.v5.Ledgers.AccountPlan' Swarmops.Frontend.Pages.v5.Ledgers.BitcoinHotwallet' Swarmops.Site.Pages.Ledgers.ImportedPaymentData' Swarmops.Frontend.MasterV5' Swarmops.Interface.Collections.ExpensePayouts' Swarmops.Interface.Objects.ExpensePayout' Swarmops.Logic.DataObjects.ExpensesDataObject' Swarmops.Logic.DashboardTasks.Tasks' Swarmops.Frontend.Pages.v5.Ledgers.Json_InspectLedgerData' Swarmops.Frontend.Automation.Json_BudgetsTree' Swarmops.Frontend.Automation.Json_FinancialAccountsTree' Swarmops.Frontend.Pages.v5.Ledgers.AccountPlanData' Swarmops.Frontend.Pages.v5.Ledgers.Json_InspectLedgerTxData' Swarmops.Frontend.Pages.v5.Ledgers.Json_UnbalancedTransactions' Swarmops.Utility.Financial.PaymentGroupMapper' Swarmops.Utility.Financial.PaysonImporter' Swarmops.Utility.Financial.PaypalImporter' Swarmops.Logic.DashboardTasks.TaskAttestationLate' Swarmops.Logic.DashboardTasks.TaskInboundInvoice' Swarmops.Pages.v5.Support.StreamUpload' Swarmops.Logic.Swarm.ParleyAttendee' Swarmops.Frontend.Pages.Financial.JsonPayableCosts' Swarmops.Frontend.Pages.Financial.JsonPayableCostsOcr' Swarmops.Logic.DashboardTasks.TaskPayout' Swarmops.Frontend.Pages.Financial.PayOutMoney' Swarmops.Frontend.Pages.Swarm.ListFindPeople' Swarmops.Utility.BotCode.SalaryProcessor' Swarmops.Plugins.Stock.TaxForms.MonthlyTaxFormSE' Swarmops.Logic.DashboardTasks.TaskSalary' Swarmops.Logic.DashboardTasks.TaskReceiptValidation' Swarmops.Logic.DashboardTasks.TaskExpenseClaim' Swarmops.Logic.Swarm.Parley,Swarmops.Logic.Support.SystemSettings' Swarmops.Logic.Support.Persistence' Swarmops.Logic.Support.PilotInstallationIds' Swarmops.Logic.Communications.OutboundComm' Swarmops.Logic.Communications.Payload.NotificationResource' Swarmops.Common.Enums.BitcoinChain' Swarmops.Database.SwarmDb' Swarmops.Logic.Structure.Organization' Swarmops.Logic.Support.BlockchainTransaction' Swarmops.Logic.Support.BlockchainTransactionRow' Swarmops.Logic.Communications.Payload.NotificationStrings' Swarmops.Logic.Communications.Payload.NotificationString' Swarmops.Logic.Support.SupportFunctions' Swarmops.Basic.Types.Financial.BasicHotBitcoinAddress' Swarmops.Basic.Types.Financial.BasicHotBitcoinAddressUnspent' Swarmops.Logic.Swarm.Person' Swarmops.Basic.Types.Financial.BasicVatReport' Swarmops.Common.Enums.FinancialAccountType' Swarmops.Basic.Types.Financial.BasicVatReportItem' Swarmops.Common.Interfaces.IHasIdentity' Swarmops.Common.Enums.FinancialDependencyType' Swarmops.Database.DatabaseCondition' Swarmops.Basic.Types.Financial.BasicExchangeRateSnapshot' Swarmops.Basic.Types.Financial.BasicCashAdvance' Swarmops.Logic.Support.SwarmopsLogEntry' Swarmops.Common.Enums.FinancialValidationType' Swarmops.Common.Constants' Swarmops.Logic.Structure.Country' Swarmops.Basic.Types.Financial.BasicFinancialTransactionTagSet' Swarmops.Logic.Resources.Logic_Financial_FinancialTransactionTagSetTypesStock' Swarmops.Basic.Types.Financial.BasicFinancialTransactionTagType' Swarmops.Basic.Types.Financial.BasicCurrency' Swarmops.Basic.Types.Financial.BasicFinancialAccountRow' Swarmops.Common.Enums.ObjectType' Swarmops.Common.Enums.ObjectOptionalDataType' Swarmops.Basic.Types.Financial.BasicFinancialTransactionRow' Swarmops.Basic.Types.Financial.BasicFinancialValidation' Swarmops.Basic.Types.Financial.BasicInboundInvoice' Swarmops.Basic.Types.Financial.BasicOutboundInvoice' Swarmops.Logic.Security.Authentication' Swarmops.Logic.Support.Formatting' Swarmops.Logic.Support.PWEvents' Swarmops.Common.Enums.EventSource' Swarmops.Common.Enums.EventType' Swarmops.Logic.Structure.Geography' Swarmops.Basic.Types.Financial.BasicOutboundInvoiceItem' Swarmops.Basic.Types.Financial.BasicPayment' Swarmops.Basic.Types.Financial.PaymentInformationType' Swarmops.Basic.Types.Financial.BasicPaymentGroup' Swarmops.Basic.Types.Financial.BasicPaymentInformation' Swarmops.Basic.Types.Financial.BasicPayout' Swarmops.Basic.Types.Financial.BasicFinancialDependency' Swarmops.Logic.Structure.OrganizationParameters' Swarmops.Logic.Communications.Payload.NotificationCustomStrings' Swarmops.Logic.Structure.Organizations' Swarmops.Logic.Swarm.People' Swarmops.Logic.Support.SwarmopsLog' Swarmops.Basic.Types.Swarm.BasicPayrollAdjustment' Swarmops.Basic.Types.Swarm.PayrollAdjustmentType' Swarmops.Basic.Types.Swarm.BasicPayrollItem' Swarmops.Basic.Types.Financial.BasicRefund' Swarmops.Basic.Types.Financial.BasicSalary' Swarmops.Basic.Types.Financial.BasicExpenseClaim' Swarmops.Common.Enums.ExpenseEventType' Swarmops.Logic.Support.ObjectOptionalData' Swarmops.Basic.Types.Financial.BasicFinancialAccount' Swarmops.Basic.Types.Financial.BasicFinancialTransaction' Swarmops.Logic.SocketMessage' Swarmops.Logic.Support.OperatingTopology' Swarmops.Logic.Support.Document
Logic,Swarmops.Logic.Resources,Swarmops.Logic.Communications.Payload.ParticipantMailPayload' Swarmops.Logic.Financial.FinancialTransactionTagSetType' Swarmops.Logic.Support.ErrorMessages' Swarmops.Logic.Swarm.DashboardTodos' Swarmops.Logic.Communications.Payload.NotificationPayload' Swarmops.Logic.Swarm.Participant' Swarmops.Logic.Swarm.Position,
Logic,Swarmops.Logic.Automation,Swarmops.Logic.Structure.GeographyUpdate' Swarmops.Frontend.Pages.v5.Public.Initialize,
Logic,Swarmops.Logic.Cache,Swarmops.Frontend.Socket.FrontendServices' Swarmops.Logic.Support.DocumentImage' Swarmops.Logic.Structure.GeographyUpdate' Swarmops.Frontend.Automation.Json_ByGuid' Swarmops.Frontend.Automation.Json_GeographiesTree' Swarmops.Frontend.Pages.v5.Admin.BitcoinEchoTest' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateCountry1' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateCountry2' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateFakePeople' Swarmops.Frontend.Pages.v5.Financial.Donate' Swarmops.Site.Pages.Ledgers.UploadBankFiles' Swarmops.Frontend.Pages.v5.Public.Initialize' Swarmops.Frontend.Pages.Public.Signup' Swarmops.Security.FinalizeLogin' Swarmops.Pages.Security.Login' Swarmops.Logic.Communications.MailTemplate' Swarmops.Logic.Structure.Geographies' Swarmops.Logic.Structure.Geography' Swarmops.Logic.Structure.Organizations' Swarmops.Logic.Structure.Organization,Swarmops.Common.Constants' Swarmops.Basic.Types.Communications.BasicMailTemplate' Swarmops.Database.SwarmDb' Swarmops.Logic.Structure.Organizations' Swarmops.Logic.Structure.Organization' Swarmops.Logic.Structure.Geography' Swarmops.Basic.Types.Structure.BasicGeography' Swarmops.Basic.Types.Structure.BasicOrganization
Logic,Swarmops.Logic.Communications.Payload,Swarmops.Logic.Communications.OutboundComm' Swarmops.Frontend.Pages.v5.Swarm.AddPerson' Swarmops.Backend.CommsTransmitter' Swarmops.Backend.BackendLoop' Swarmops.Logic.Communications.ICommsTransmitter' Swarmops.Utility.Communications.CommsTransmitterMail' Swarmops.Frontend.Socket.FrontendLoop' Swarmops.Logic.Financial.BitcoinUtility' Swarmops.Logic.Financial.CashAdvance' Swarmops.Logic.Financial.InboundInvoice' Swarmops.Logic.Financial.Payout' Swarmops.Logic.Financial.Payouts' Swarmops.Logic.Financial.Salaries' Swarmops.Logic.Financial.Salary' Swarmops.Logic.Financial.ExpenseClaim' Swarmops.Logic.Support.DatabaseMaintenance' Swarmops.Frontend.Pages.Admin.SystemSettingsPage' Swarmops.Frontend.Pages.Public.Signup' Swarmops.Pages.Security.RequestPasswordReset' Swarmops.Pages.Security.ResetPassword' Swarmops.Frontend.Automation.FinancialFunctions,Swarmops.Logic.Swarm.Person' Swarmops.Logic.Swarm.Participation' Swarmops.Logic.Structure.Organization' Swarmops.Logic.Swarm.Participant' Swarmops.Logic.Swarm.TitleVariant' Swarmops.Logic.Resources.Logic_Communications_Transmission_DefaultCommTemplates' Swarmops.Logic.Communications.RenderedComm' Swarmops.Logic.Security.Authentication' Swarmops.Logic.Communications.CommRenderPart' Swarmops.Logic.Support.IXmlPayload' Swarmops.Logic.Resources.Logic_Communications_Transmission_NotificationPayload' Swarmops.Database.SwarmDb' Swarmops.Logic.Support.Formatting' Swarmops.Logic.Support.SystemSettings
Logic,Swarmops.Logic.Security,Swarmops.Frontend.Automation.SwarmFunctions' Swarmops.Logic.Swarm.Position' Swarmops.Frontend.DataV5Base' Swarmops.Frontend.PageV5Base' Swarmops.Logic.Swarm.DashboardTodos' Swarmops.Frontend.Automation.Json_PositionsTree' Swarmops.Frontend.Pages.v5.Admin.BitcoinEchoTest' Swarmops.Frontend.Pages.v5.Admin.CreateOrganization' Swarmops.Frontend.Pages.v5.Admin.CommenceImpersonation' Swarmops.Frontend.Pages.v5.Admin.OrganizationStaffing' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateCountry1' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateCountry2' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateFakePeople' Swarmops.Frontend.Pages.v5.Admin.Hacks.Temp_SetOrganizationAdminAccess' Swarmops.Frontend.Pages.Admin.OrgSettings' Swarmops.Frontend.Pages.Admin.SystemSettingsPage' Swarmops.Frontend.Pages.Comms.SendMassMessage' Swarmops.Frontend.Pages.v5.Financial.ListInvoicesOutbound' Swarmops.Frontend.Pages.v5.Financial.ListInvoicesInbound' Swarmops.Frontend.Pages.v5.Financial.AttestCosts' Swarmops.Frontend.Pages.v5.Financial.CreateOutboundInvoice' Swarmops.Frontend.Pages.v5.Financial.CreateInboundInvoice' Swarmops.Frontend.Pages.v5.Financial.Donate' Swarmops.Frontend.Pages.v5.Financial.FileExpenseClaim' Swarmops.Frontend.Pages.v5.Financial.RequestCashAdvance' Swarmops.Frontend.Pages.v5.Financial.ValidateReceipts' Swarmops.Frontend.Pages.Financial.JsonPayableCosts' Swarmops.Frontend.Pages.Financial.JsonPayableCostsOcr' Swarmops.Frontend.Pages.Financial.PayOutMoney' Swarmops.Frontend.Pages.v5.Ledgers.AccountPlan' Swarmops.Frontend.Pages.v5.Ledgers.BalanceTransactions' Swarmops.Frontend.Pages.v5.Ledgers.BitcoinHotwallet' Swarmops.Frontend.Pages.v5.Ledgers.InspectLedgers' Swarmops.Frontend.Pages.v5.Ledgers.AccountPlanData' Swarmops.Frontend.Pages.v5.Ledgers.Json_BitcoinHotwalletData' Swarmops.Frontend.Pages.v5.Ledgers.Json_InspectLedgerData' Swarmops.Frontend.Pages.v5.Ledgers.Json_InspectLedgerTxData' Swarmops.Frontend.Pages.v5.Ledgers.Json_OutstandingAccounts' Swarmops.Frontend.Pages.v5.Ledgers.ResyncDataPreview' Swarmops.Frontend.Pages.v5.Ledgers.Json_UnbalancedTransactions' Swarmops.Frontend.Pages.v5.Ledgers.ResyncExternalAccount' Swarmops.Frontend.Pages.v5.Ledgers.ViewVatReports' Swarmops.Frontend.Pages.v5.Ledgers.ViewOutstandingAccounts' Swarmops.Frontend.Pages.Ledgers.BalanceSheetSimplified' Swarmops.Frontend.Pages.Ledgers.BalanceSheet' Swarmops.Frontend.Pages.Ledgers.ProfitLossStatement' Swarmops.Frontend.Pages.v5.Ledgers.TaxForms.PayrollForms' Swarmops.Site.Pages.Ledgers.UploadBankFiles' Swarmops.Frontend.Pages.v5.Security.ChangeOrganizations' Swarmops.Frontend.Pages.v5.Security.SetCurrentOrganization' Swarmops.Pages.v5.Support.StreamUpload' Swarmops.Frontend.Pages.v5.Swarm.AddPerson' Swarmops.Frontend.Pages.v5.Swarm.LocalOrganization' Swarmops.Frontend.Pages.Swarm.Json_ListFindPeople' Swarmops.Frontend.Pages.Swarm.ListFindPeople' Swarmops.Frontend.Pages.v5.User.SelectLanguage' Swarmops.Frontend.Pages.v5.User.SetCulture' Swarmops.Frontend.Default' Swarmops.Pages.Security.Login' Swarmops.Logic.Financial.OutboundInvoice' Swarmops.Logic.Communications.Payload.ParticipantMailPayload' Swarmops.Logic.Support.Formatting' Swarmops.Logic.Governance.MeetingElectionVote' Swarmops.Logic.Swarm.PaymentCode' Swarmops.Logic.Swarm.Person' Swarmops.Frontend.Pages.v5.Public.Initialize' Swarmops.Backend.SocketServices.BackendServices' Swarmops.Frontend.Socket.FrontendServices' Swarmops.Frontend.Socket.FrontendLoop' Swarmops.Frontend.Socket.SocketServerExtensionMethods' Swarmops.Logic.SocketMessageBase<T>' Swarmops.Frontend.Automation.Json_SearchPeoplePattern' Swarmops.Frontend.Controls.Swarm.ImpersonationWarningBox' Swarmops.Frontend.Pages.Public.Signup' Swarmops.Pages.Security.ResetPassword' Swarmops.Frontend.CommonV5' Swarmops.Frontend.AuthenticationData' Swarmops.Frontend.ControlV5Base' Swarmops.Frontend.MasterV5Base' Swarmops.Frontend.MasterV5' Swarmops.Frontend.Controls.Financial.CurrencyTextBox' Swarmops.Utility.BotCode.RosterHousekeeping' Swarmops.Utility.Financial.PaysonImporter' Swarmops.Utility.Financial.PaypalImporter,Swarmops.Logic.Structure.Geography' Swarmops.Logic.Structure.Organization' Swarmops.Logic.Swarm.People' Swarmops.Logic.Swarm.Person' Swarmops.Logic.Swarm.Participations' Swarmops.Logic.Swarm.Participation' Swarmops.Logic.Support.PilotInstallationIds' Swarmops.MD5' Swarmops.Database.SwarmDb' Swarmops.Logic.Support.LogicServices' Swarmops.Common.Enums.ObjectType' Swarmops.Common.Enums.ObjectOptionalDataType' Swarmops.Basic.Types.Swarm.BasicPerson' Swarmops.Logic.Security.App_LocalResources.Authentication' Swarmops.Common.Constants' Swarmops.Logic.Support.Persistence' Swarmops.Logic.Support.SystemSettings' Swarmops.Logic.Swarm.PositionAssignment' Swarmops.Logic.Swarm.Position' Swarmops.Common.Enums.PositionLevel' Swarmops.Logic.Swarm.PositionAssignments' Swarmops.Logic.Swarm.Positions' Swarmops.Common.Enums.PositionType' Swarmops.Common.Interfaces.IHasIdentity' Swarmops.Logic.Structure.Organizations' Swarmops.Logic.Structure.Geographies' Swarmops.Basic.Types.Swarm.BasicParticipation' Swarmops.Common.Enums.Permission
Logic,Swarmops.Logic,Swarmops.Backend.BackendLoop' Swarmops.Backend.SocketServices.BackendServices' Swarmops.Frontend.Socket.FrontendServices' Swarmops.Frontend.Socket.FrontendLoop' Swarmops.Logic.Financial.FinancialTransaction,Swarmops.Logic.Support.SupportFunctions' Swarmops.Logic.Support.OperatingTopology' Swarmops.Logic.Support.SystemSettings' Swarmops.Logic.Security.Authority
Logic,Swarmops.Logic.Support,Swarmops.Backend.BackendLoop' Swarmops.Logic.Financial.BitcoinUtility' Swarmops.Frontend.Pages.v5.Security.ChangeOrganizations' Swarmops.Frontend.Socket.FrontendLoop' Swarmops.Logic.Communications.UnregisterActivistHandler' Swarmops.Frontend.Pages.v5.Public.Initialize' Swarmops.Logic.Financial.NBitcoinSecureRandomizer' Swarmops.Logic.Financial.FinancialTransaction' Swarmops.Logic.SocketMessageBase<T>' Swarmops.Logic.Support.LogEntries.PersonAddedLogEntry' Swarmops.Frontend.Automation.SwarmFunctions' Swarmops.Frontend.Pages.v5.Ledgers.AccountPlan' Swarmops.Frontend.Pages.Public.Signup' Swarmops.Pages.Security.Login' Swarmops.Pages.Security.RequestPasswordReset' Swarmops.Pages.Security.ResetPassword' Swarmops.Frontend.PageV5Base' Swarmops.Logic.Communications.Payload.PayloadEnvelope' Swarmops.Logic.Financial.FinancialAccount' Swarmops.Logic.Structure.OrganizationParameters' Swarmops.Logic.Structure.Organization' Swarmops.Logic.Swarm.Person' Swarmops.Logic.Swarm.PersonQuarantine' Swarmops.Backend.SocketServices.BackendServices' Swarmops.Logic.Support.BackendServices.RasterizeDocumentHiresOrder' Swarmops.Logic.Financial.ExternalBankData' Swarmops.Logic.Security.Authentication' Swarmops.Logic.Swarm.DashboardTodos' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateCountry1' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateCountry2' Swarmops.Frontend.Pages.Comms.SendMassMessage' Swarmops.Site.Pages.Ledgers.UploadBankFiles' Swarmops.Frontend.MasterV5' Swarmops.Frontend.Controls.UI.ExternalScripts' Swarmops.Utility.Communications.CommsTransmitterMail' Swarmops.Logic.Communications.MemberMail' Swarmops.Logic.Communications.ExpiredMail' Swarmops.Logic.Communications.ReminderMail' Swarmops.Logic.Communications.NewsletterMail' Swarmops.Logic.Communications.ChangeOrgMail' Swarmops.Frontend.Socket.FrontendServices' Swarmops.Frontend.Automation.OrgFunctions' Swarmops.Frontend.Pages.v5.Admin.Hacks.PopulateFakePeople' Swarmops.Frontend.Pages.v5.Financial.ListInvoicesOutbound' Swarmops.Frontend.Pages.v5.Financial.ListInvoicesInbound' Swarmops.Frontend.Pages.v5.Financial.AttestCosts' Swarmops.Frontend.Pages.v5.Financial.ValidateReceipts' Swarmops.Frontend.Pages.v5.Ledgers.InspectLedgers' Swarmops.Frontend.Pages.v5.Ledgers.ResyncExternalAccount' Swarmops.Frontend.Pages.v5.Ledgers.ViewVatReports' Swarmops.Pages.v5.Support.StreamUpload' Swarmops.Frontend.Automation.FieldValidation' Swarmops.Frontend.Pages.v5.Financial.CreateOutboundInvoice' Swarmops.Frontend.Pages.v5.Financial.CreateInboundInvoice' Swarmops.Frontend.Pages.v5.Financial.FileExpenseClaim' Swarmops.Logic.Financial.OutboundInvoice' Swarmops.Logic.Financial.Payment' Swarmops.Logic.Financial.Refund' Swarmops.Logic.Swarm.Participation' Swarmops.Logic.Swarm.Parley' Swarmops.Logic.Swarm.ParleyAttendee' Swarmops.Frontend.Pages.Financial.PayOutMoney' Swarmops.Frontend.Pages.Swarm.ListFindPeople' Swarmops.Utility.BotCode.SalaryProcessor' Swarmops.Logic.Financial.Payout' Swarmops.Logic.Financial.Payouts' Swarmops.Logic.Communications.Payload.NotificationPayload' Swarmops.Frontend.Pages.Financial.JsonPayableCostsOcr' Swarmops.Controls.Base.MainMenu' Swarmops.Utility.BotCode.MailProcessor' Swarmops.Utility.BotCode.PressReleaseChecker' Swarmops.Utility.Mail.MailTransmitter' Swarmops.Logic.Swarm.People' Swarmops.Logic.Financial.Payroll' Swarmops.Logic.Special.Sweden.SupportDatabase' Swarmops.Logic.Special.Sweden.SwedishForumDatabase' Swarmops.Logic.Special.Sweden.SwedishForumDatabaseVBulletin' Swarmops.Logic.Special.Mail.MailServerDatabase' Swarmops.Utility.BotCode.HeartBeater' Swarmops.Utility.Special.Sweden.SupportMailReview' Swarmops.Utility.Mail.NewsletterTransmitter2' Swarmops.Utility.Mail.NewsletterTransmitter3' Swarmops.Frontend.Pages.v5.Admin.CommenceImpersonation' Swarmops.Frontend.Pages.v5.Swarm.AddPerson' Swarmops.Logic.Financial.CashAdvance' Swarmops.Logic.Financial.InboundInvoice' Swarmops.Logic.Financial.ExpenseClaim' Swarmops.Logic.Financial.BitcoinBlockchainUpgrade' Swarmops.Logic.Security.Authority' Swarmops.Frontend.Pages.Admin.SystemSettingsPage,Swarmops.Basic.Types.System.BasicBackendServiceOrder' Swarmops.Database.SwarmDb' Swarmops.Logic.Swarm.Person' Swarmops.Logic.Structure.Organization' Swarmops.Database.DatabaseCondition' Swarmops.Logic.Cache.GuidCache' Swarmops.Logic.Resources.Logic_Support_ErrorMessages' Swarmops.Common.Enums.EventType' Swarmops.Logic.Structure.Geography' Swarmops.Common.Enums.EventSource' Swarmops.Logic.Communications.OutboundComm' Swarmops.Logic.Communications.Payload.NotificationResource' Swarmops.Common.Interfaces.IHasIdentity' Swarmops.Basic.Types.System.BasicObjectOptionalData' Swarmops.Common.Enums.ObjectOptionalDataType' Swarmops.Basic.Types.Structure.BasicDocument' Swarmops.Common.Enums.DocumentType' Swarmops.Logic.Financial.ExpenseClaim' Swarmops.Logic.Financial.FinancialTransaction' Swarmops.Logic.Financial.InboundInvoice' Swarmops.Logic.Financial.OutboundInvoice' Swarmops.Logic.Financial.VatReport' Swarmops.Logic.Communications.PaperLetter' Swarmops.Logic.Swarm.ExternalActivity' Swarmops.Logic.Security.Authentication' Swarmops.Basic.Types.Swarm.BasicPerson' Swarmops.Basic.Types.System.BasicSwarmopsLogEntry
Logic,Swarmops.Logic.Support.BackendServices,Swarmops.Frontend.Socket.FrontendServices' Swarmops.Frontend.Pages.v5.Admin.BitcoinEchoTest,Swarmops.Database.SwarmDb' Swarmops.Logic.Structure.Organization' Swarmops.Logic.Swarm.Person' Swarmops.Logic.Support.Document' Swarmops.Logic.Support.PdfProcessor' Swarmops.Logic.Support.PdfProcessorOptions' Swarmops.Basic.Types.Financial.BasicHotBitcoinAddressUnspent' Swarmops.Logic.Financial.HotBitcoinAddressUnspent' Swarmops.Logic.Financial.HotBitcoinAddress' Swarmops.Logic.Financial.BitcoinTransactionInputs' Swarmops.Logic.Financial.FinancialTransaction' Swarmops.Logic.Financial.BitcoinUtility' Swarmops.Common.Enums.BitcoinChain' Swarmops.Logic.Financial.OrganizationFinancialAccounts
