Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,zxing.net2.0,ZXing.OneD,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ZXing.OneD' ZXing.Rendering' ZXing,ZXing.OneD.CodaBarReader' ZXing.Rendering.BitmapRenderer' ZXing.BarcodeReaderGeneric<T>' ZXing.BarcodeWriterGeneric<TOutput>' ZXing.BitmapLuminanceSource' ZXing.ResultPoint
Cyclic Dependency,zxing.net2.0,ZXing.OneD,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ZXing.OneD' ZXing.Rendering' ZXing' ZXing.Multi' ZXing,ZXing.OneD.CodaBarReader' ZXing.Rendering.BitmapRenderer' ZXing.BarcodeReaderGeneric<T>' ZXing.BarcodeWriterGeneric<TOutput>' ZXing.BitmapLuminanceSource' ZXing.ResultPoint' ZXing.Multi.ByQuadrantReader
Cyclic Dependency,zxing.net2.0,ZXing.Rendering,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ZXing.Rendering' ZXing,ZXing.Rendering.BitmapRenderer' ZXing.BarcodeReaderGeneric<T>' ZXing.BarcodeWriterGeneric<TOutput>' ZXing.BitmapLuminanceSource' ZXing.ResultPoint
Cyclic Dependency,zxing.net2.0,ZXing.Rendering,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ZXing.Rendering' ZXing' ZXing.Multi' ZXing,ZXing.Rendering.BitmapRenderer' ZXing.BarcodeReaderGeneric<T>' ZXing.BarcodeWriterGeneric<TOutput>' ZXing.BitmapLuminanceSource' ZXing.ResultPoint' ZXing.Multi.ByQuadrantReader
Unstable Dependency,zxing.net2.0,ZXing,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZXing.Multi' ZXing.Rendering' ZXing.Common.Detector,ZXing.MultipleBarcodeReader' ZXing.IBarcodeRenderer' ZXing.MathUtils
Unstable Dependency,zxing.net2.0,ZXing.Common,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ZXing,ZXing.Common.BarcodeFormat' ZXing.Common.BarcodeWriter' ZXing.Common.ResultPoint' ZXing.Common.LuminanceSource' ZXing.Common.DecodeHintType
God Component,zxing.net2.0,ZXing,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34,ZXing.BarcodeFormat' ZXing.DecodeHintType' ZXing.EncodeHintType' ZXing.ResultMetadataType' ZXing.BitmapFormat
God Component,zxing.net2.0,ZXing.Client.Result,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35,ZXing.Client.Result.ParsedResultType' ZXing.Client.Result.BookmarkDoCoMoResultParser' ZXing.Client.Result.EmailAddressParsedResult' ZXing.Client.Result.EmailAddressResultParser' ZXing.Client.Result.GeoResultParser' ZXing.Client.Result.ISBNParsedResult
God Component,zxing.net2.0,ZXing.QrCode.Internal,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33,ZXing.QrCode.Internal.DataMask000' ZXing.QrCode.Internal.DataMask001' ZXing.QrCode.Internal.DataMask010' ZXing.QrCode.Internal.DataMask011
Feature Concentration,zxing.net2.0,ZXing.Common,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitArray' BitMatrix' DefaultGridSampler' DetectorResult' GlobalHistogramBinarizer' GridSampler' HybridBinarizer' PerspectiveTransform]' [BitSource]' [CharacterSetECI' ECI]' [DecoderResult]' [EncodingOptions]' [StringUtils]. LCC (Lack of Component Cohesion) = 0.43,ZXing.Common.CharacterSetECI' ZXing.Common.ECI' ZXing.Common.BitSource' ZXing.Common.DecoderResult' ZXing.Common.EncodingOptions' ZXing.Common.StringUtils
Feature Concentration,zxing.net2.0,ZXing.PDF417.Internal,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitMatrixParser' Decoder' DecodedBitStreamParser' Mode]' [Detector]' [BarcodeMatrix' BarcodeRow' PDF417' PDF417ErrorCorrection' PDF417HighLevelEncoder' Compaction]' [Dimensions]. LCC (Lack of Component Cohesion) = 0.33,ZXing.PDF417.Internal.BitMatrixParser' ZXing.PDF417.Internal.Decoder' ZXing.PDF417.Internal.DecodedBitStreamParser' ZXing.PDF417.Internal.Mode' ZXing.PDF417.Internal.Detector' ZXing.PDF417.Internal.Dimensions
Scattered Functionality,zxing.net2.0,ZXing.OneD,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ZXing' ZXing.Common,ZXing.BinaryBitmap' ZXing.Common.BitArray' ZXing.Result
